
**************************************************************
 Geant4 version Name: geant4-10-04-patch-01 [MT]   (28-February-2018)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

Air G4MaterialPropertiesTable
0: RINDEX
2.034e-06   1
2.068e-06   1
2.103e-06   1
2.139e-06   1
2.177e-06   1
2.216e-06   1
2.256e-06   1
2.298e-06   1
2.341e-06   1
2.386e-06   1
2.433e-06   1
2.481e-06   1
2.532e-06   1
2.585e-06   1
2.64e-06   1
2.697e-06   1
2.757e-06   1
2.82e-06   1
2.885e-06   1
2.954e-06   1
3.026e-06   1
3.102e-06   1
3.181e-06   1
3.265e-06   1
3.353e-06   1
3.446e-06   1
3.545e-06   1
3.649e-06   1
3.76e-06   1
3.877e-06   1
4.002e-06   1
4.136e-06   1
9: GROUPVEL
2.034e-06   299.792
2.051e-06   299.792
2.0855e-06   299.792
2.121e-06   299.792
2.158e-06   299.792
2.1965e-06   299.792
2.236e-06   299.792
2.277e-06   299.792
2.3195e-06   299.792
2.3635e-06   299.792
2.4095e-06   299.792
2.457e-06   299.792
2.5065e-06   299.792
2.5585e-06   299.792
2.6125e-06   299.792
2.6685e-06   299.792
2.727e-06   299.792
2.7885e-06   299.792
2.8525e-06   299.792
2.9195e-06   299.792
2.99e-06   299.792
3.064e-06   299.792
3.1415e-06   299.792
3.223e-06   299.792
3.309e-06   299.792
3.3995e-06   299.792
3.4955e-06   299.792
3.597e-06   299.792
3.7045e-06   299.792
3.8185e-06   299.792
3.9395e-06   299.792
4.136e-06   299.792
14: ABSLENGTH
2.034e-06   100000
2.068e-06   100000
2.103e-06   100000
2.139e-06   100000
2.177e-06   100000
2.216e-06   100000
2.256e-06   100000
2.298e-06   100000
2.341e-06   100000
2.386e-06   100000
2.433e-06   100000
2.481e-06   100000
2.532e-06   100000
2.585e-06   100000
2.64e-06   100000
2.697e-06   100000
2.757e-06   100000
2.82e-06   100000
2.885e-06   100000
2.954e-06   100000
3.026e-06   100000
3.102e-06   100000
3.181e-06   100000
3.265e-06   100000
3.353e-06   100000
3.446e-06   100000
3.545e-06   100000
3.649e-06   100000
3.76e-06   100000
3.877e-06   100000
4.002e-06   100000
4.136e-06   100000
Silicon G4MaterialPropertiesTable
0: RINDEX
2.034e-06   1
2.068e-06   1
2.103e-06   1
2.139e-06   1
